constraint_catalog                      constraint_schema                       constraint_name                         table_catalog                           table_schema                            table_name                              column_name                             ordinal_position                        KeyType                                 index_name                              
TestSite                                dbo                                     IX_PE_Address_UserName                  TestSite                                dbo                                     PE_Address                              UserName                                1                                       231                                     IX_PE_Address_UserName                  
TestSite                                dbo                                     PK_PE_Address_AddressID                 TestSite                                dbo                                     PE_Address                              AddressID                               1                                       56                                      PK_PE_Address_AddressID                 
TestSite                                dbo                                     PK_PE_Admin_AdminID                     TestSite                                dbo                                     PE_Admin                                AdminID                                 1                                       56                                      PK_PE_Admin_AdminID                     
TestSite                                dbo                                     PK_PE_Admin_Roles                       TestSite                                dbo                                     PE_Admin_Roles                          AdminID                                 1                                       56                                      PK_PE_Admin_Roles                       
TestSite                                dbo                                     PK_PE_Admin_Roles                       TestSite                                dbo                                     PE_Admin_Roles                          RoleID                                  2                                       56                                      PK_PE_Admin_Roles                       
TestSite                                dbo                                     PK_PE_AdminProfile_AdminName            TestSite                                dbo                                     PE_AdminProfile                         AdminName                               1                                       231                                     PK_PE_AdminProfile_AdminName            
TestSite                                dbo                                     PK_PE_ShortCutContent                   TestSite                                dbo                                     PE_AdminShortCutContent                 ShortCutID                              1                                       56                                      PK_PE_ShortCutContent                   
TestSite                                dbo                                     PK_PE_Advertisement_ADID                TestSite                                dbo                                     PE_Advertisement                        ADID                                    1                                       56                                      PK_PE_Advertisement_ADID                
TestSite                                dbo                                     PK_PE_AdZone_ZoneID                     TestSite                                dbo                                     PE_AdZone                               ZoneID                                  1                                       56                                      PK_PE_AdZone_ZoneID                     
TestSite                                dbo                                     PK_PE_Author_ID                         TestSite                                dbo                                     PE_Author                               ID                                      1                                       56                                      PK_PE_Author_ID                         
TestSite                                dbo                                     IX_PE_Bank_CardNum                      TestSite                                dbo                                     PE_Bank                                 CardNum                                 1                                       231                                     IX_PE_Bank_CardNum                      
TestSite                                dbo                                     IX_PE_Bank_OrderID                      TestSite                                dbo                                     PE_Bank                                 OrderID                                 1                                       56                                      IX_PE_Bank_OrderID                      
TestSite                                dbo                                     PK_PE_Bank_BankID                       TestSite                                dbo                                     PE_Bank                                 BankID                                  1                                       56                                      PK_PE_Bank_BankID                       
TestSite                                dbo                                     IX_PE_BankrollItem_ClientId             TestSite                                dbo                                     PE_BankrollItem                         ClientID                                1                                       56                                      IX_PE_BankrollItem_ClientId             
TestSite                                dbo                                     IX_PE_BankrollItem_eBankId              TestSite                                dbo                                     PE_BankrollItem                         eBankID                                 1                                       56                                      IX_PE_BankrollItem_eBankId              
TestSite                                dbo                                     IX_PE_BankrollItem_OrderFormId          TestSite                                dbo                                     PE_BankrollItem                         OrderID                                 1                                       56                                      IX_PE_BankrollItem_OrderFormId          
TestSite                                dbo                                     IX_PE_BankrollItem_PaymentId            TestSite                                dbo                                     PE_BankrollItem                         PaymentID                               1                                       56                                      IX_PE_BankrollItem_PaymentId            
TestSite                                dbo                                     IX_PE_BankrollItem_UserName             TestSite                                dbo                                     PE_BankrollItem                         UserName                                1                                       231                                     IX_PE_BankrollItem_UserName             
TestSite                                dbo                                     PK_PE_BankrollItem_ItemID               TestSite                                dbo                                     PE_BankrollItem                         ItemID                                  1                                       56                                      PK_PE_BankrollItem_ItemID               
TestSite                                dbo                                     IX_PE_Cards_CardID                      TestSite                                dbo                                     PE_Cards                                CardID                                  1                                       56                                      IX_PE_Cards_CardID                      
TestSite                                dbo                                     IX_PE_Cards_CardNum                     TestSite                                dbo                                     PE_Cards                                CardNum                                 1                                       231                                     IX_PE_Cards_CardNum                     
TestSite                                dbo                                     IX_PE_Cards_CardType                    TestSite                                dbo                                     PE_Cards                                CardType                                1                                       56                                      IX_PE_Cards_CardType                    
TestSite                                dbo                                     IX_PE_Cards_OrderItemID                 TestSite                                dbo                                     PE_Cards                                OrderItemID                             1                                       56                                      IX_PE_Cards_OrderItemID                 
TestSite                                dbo                                     IX_PE_Cards_Password                    TestSite                                dbo                                     PE_Cards                                Password                                1                                       231                                     IX_PE_Cards_Password                    
TestSite                                dbo                                     IX_PE_Cards_ProductID                   TestSite                                dbo                                     PE_Cards                                ProductID                               1                                       56                                      IX_PE_Cards_ProductID                   
TestSite                                dbo                                     IX_PE_Cards_ValidNum                    TestSite                                dbo                                     PE_Cards                                ValidNum                                1                                       56                                      IX_PE_Cards_ValidNum                    
TestSite                                dbo                                     PK_PE_Cards                             TestSite                                dbo                                     PE_Cards                                CardID                                  1                                       56                                      PK_PE_Cards                             
TestSite                                dbo                                     IX_PE_Client_ClientNum                  TestSite                                dbo                                     PE_Client                               ClientNum                               1                                       231                                     IX_PE_Client_ClientNum                  
TestSite                                dbo                                     IX_PE_Client_GroupID                    TestSite                                dbo                                     PE_Client                               GroupID                                 1                                       56                                      IX_PE_Client_GroupID                    
TestSite                                dbo                                     IX_PE_Client_ParentID                   TestSite                                dbo                                     PE_Client                               ParentID                                1                                       56                                      IX_PE_Client_ParentID                   
TestSite                                dbo                                     PK_PE_Client_ClientID                   TestSite                                dbo                                     PE_Client                               ClientID                                1                                       56                                      PK_PE_Client_ClientID                   
TestSite                                dbo                                     PK_PE_ClientAnnal                       TestSite                                dbo                                     PE_ClientAnnal                          ClientAnnalID                           1                                       56                                      PK_PE_ClientAnnal                       
TestSite                                dbo                                     PK_PE_ClientHistory                     TestSite                                dbo                                     PE_ClientHistory                        ClientHistoryID                         1                                       56                                      PK_PE_ClientHistory                     
TestSite                                dbo                                     PK_PE_ClientHistoryItem                 TestSite                                dbo                                     PE_ClientHistoryItem                    ItemID                                  1                                       56                                      PK_PE_ClientHistoryItem                 
TestSite                                dbo                                     PK_PE_CollectionExclosion               TestSite                                dbo                                     PE_CollectionExclosion                  ExclosionID                             1                                       56                                      PK_PE_CollectionExclosion               
