TABLE_CATALOG                           TABLE_SCHEMA                            TABLE_NAME                              TABLE_TYPE                              
TestSite                                dbo                                     PE_PresentProject                       BASE TABLE                              
TestSite                                dbo                                     PE_DeliverItemDetails                   BASE TABLE                              
TestSite                                dbo                                     PE_AdZone                               BASE TABLE                              
TestSite                                dbo                                     PE_Process_Roles                        BASE TABLE                              
TestSite                                dbo                                     PE_ValidLog                             BASE TABLE                              
TestSite                                dbo                                     PE_StockItem                            BASE TABLE                              
TestSite                                dbo                                     PE_ProcessStatusCode                    BASE TABLE                              
TestSite                                dbo                                     PE_DeliverType                          BASE TABLE                              
TestSite                                dbo                                     PE_Bank                                 BASE TABLE                              
TestSite                                dbo                                     PE_Producer                             BASE TABLE                              
TestSite                                dbo                                     PE_Version                              BASE TABLE                              
TestSite                                dbo                                     PE_Stock                                BASE TABLE                              
TestSite                                dbo                                     PE_ProductData                          BASE TABLE                              
TestSite                                dbo                                     PE_Department                           BASE TABLE                              
TestSite                                dbo                                     PE_Author                               BASE TABLE                              
TestSite                                dbo                                     PE_ProductPrice                         BASE TABLE                              
TestSite                                dbo                                     PE_Vote                                 BASE TABLE                              
TestSite                                dbo                                     PE_SubscriptionItems                    BASE TABLE                              
TestSite                                dbo                                     PE_Provider                             BASE TABLE                              
TestSite                                dbo                                     PE_Department_Members                   BASE TABLE                              
TestSite                                dbo                                     PE_BankrollItem                         BASE TABLE                              
TestSite                                dbo                                     PE_RedirectCategory                     BASE TABLE                              
TestSite                                dbo                                     PE_VT_UserVoteTotal                     BASE TABLE                              
TestSite                                dbo                                     PE_RedirectUrl                          BASE TABLE                              
TestSite                                dbo                                     PE_Dictionary                           BASE TABLE                              
TestSite                                dbo                                     PE_SurveyVote                           BASE TABLE                              
TestSite                                dbo                                     PE_Region                               BASE TABLE                              
TestSite                                dbo                                     PE_VT_Vote                              BASE TABLE                              
TestSite                                dbo                                     PE_Client                               BASE TABLE                              
TestSite                                dbo                                     PE_RemindItem                           BASE TABLE                              
TestSite                                dbo                                     PE_DownloadError                        BASE TABLE                              
TestSite                                dbo                                     PE_Survey                               BASE TABLE                              
TestSite                                dbo                                     PE_Role_Field_Permissions               BASE TABLE                              
TestSite                                dbo                                     PE_VT_VoteItem                          BASE TABLE                              
TestSite                                dbo                                     PE_Cards                                BASE TABLE                              
TestSite                                dbo                                     PE_Role_Node_Permissions                BASE TABLE                              
TestSite                                dbo                                     PE_DownServer                           BASE TABLE                              
TestSite                                dbo                                     PE_Trademark                            BASE TABLE                              
TestSite                                dbo                                     PE_Role_Special_Permissions             BASE TABLE                              
TestSite                                dbo                                     PE_WordReplaceItem                      BASE TABLE                              
TestSite                                dbo                                     PE_ClientAnnal                          BASE TABLE                              
TestSite                                dbo                                     PE_Favorite                             BASE TABLE                              
TestSite                                dbo                                     PE_Roles                                BASE TABLE                              
TestSite                                dbo                                     PE_TransferLog                          BASE TABLE                              
TestSite                                dbo                                     PE_Work                                 BASE TABLE                              
TestSite                                dbo                                     PE_Roles_Permissions                    BASE TABLE                              
TestSite                                dbo                                     PE_ClientHistory                        BASE TABLE                              
TestSite                                dbo                                     PE_Files                                BASE TABLE                              
TestSite                                dbo                                     PE_SendBack                             BASE TABLE                              
TestSite                                dbo                                     PE_U_Announce                           BASE TABLE                              
TestSite                                dbo                                     PE_WorkCategory                         BASE TABLE                              
TestSite                                dbo                                     PE_SendBackItem                         BASE TABLE                              
TestSite                                dbo                                     PE_ClientHistoryItem                    BASE TABLE                              
TestSite                                dbo                                     PE_FlowProcess                          BASE TABLE                              
